Day,high_in_F,low_in_F,precip_in_inches,snow_in_inches
10/15/2023,60,50,0.01,0.0
10/16/2023,63,48,0.00,0.0
10/17/2023,61,51,0.00,0.0
10/18/2023,63,52,0.00,0.0
10/19/2023,64,52,0.00,0.0
10/20/2023,63,59,0.84,0.0
10/21/2023,63,56,0.67,0.0
10/22/2023,57,48,0.00,0.0
10/23/2023,60,47,0.00,0.0
10/24/2023,65,47,0.00,0.0
10/25/2023,72,53,0.00,0.0
10/26/2023,77,58,0.00,0.0
10/27/2023,74,63,0.00,0.0
10/28/2023,80,63,0.00,0.0
10/29/2023,63,51,0.47,0.0
10/30/2023,60,50,0.59,0.0
10/30/2023,51,45,0.00,0.0
11/01/2023,49,39,0.01,0.0
11/02/2023,48,35,0.00,0.0
11/03/2023,55,42,0.00,0.0
11/04/2023,61,47,0.00,0.0
11/05/2023,65,49,0.00,0.0
11/06/2023,56,44,0.00,0.0
11/07/2023,64,53,0.06,0.0
11/08/2023,54,43,0.00,0.0
11/09/2023,57,42,0.00,0.0
11/10/2023,53,45,0.00,0.0
11/11/2023,55,42,0.00,0.0
11/12/2023,44,36,0.00,0.0
11/13/2023,49,35,0.00,0.0
11/14/2023,53,42,0.00,0.0
11/15/2023,53,39,0.00,0.0
11/16/2023,65,46,0.00,0.0
11/17/2023,67,52,0.00,0.0
11/18/2023,63,41,0.00,0.0
11/19/2023,55,40,0.00,0.0
11/20/2023,46,37,0.00,0.0
11/21/2023,48,33,0.59,0.0
11/22/2023,54,48,1.93,0.0
11/23/2023,52,44,0.00,0.0
11/24/2023,51,33,0.00,0.0
11/25/2023,40,30,0.00,0.0
11/26/2023,56,35,0.28,0.0
11/27/2023,56,36,0.08,0.0
11/28/2023,41,32,0.00,0.0
11/29/2023,38,27,0.00,0.0
11/30/2023,51,34,0.00,0.0
12/01/2023,51,43,0.41,0.0
12/02/2023,60,47,0.00,0.0
12/03/2023,53,48,0.55,0.0
12/04/2023,54,42,0.00,0.0
12/05/2023,43,38,0.00,0.0
12/06/2023,43,33,0.00,0.0
12/07/2023,39,32,0.00,0.0
12/08/2023,51,38,0.00,0.0
12/09/2023,59,44,0.00,0.0
12/10/2023,61,50,1.12,0.0
12/11/2023,50,38,0.55,0.0
12/12/2023,44,36,0.00,0.0
12/13/2023,47,36,0.00,0.0
12/14/2023,41,33,0.00,0.0
12/15/2023,58,37,0.00,0.0
12/16/2023,54,46,0.00,0.0
12/17/2023,59,47,0.26,0.0
12/18/2023,62,42,2.21,0.0
12/19/2023,44,32,0.00,0.0
12/20/2023,46,30,0.00,0.0
12/21/2023,42,30,0.00,0.0
12/22/2023,37,25,0.00,0.0
12/23/2023,44,34,0.00,0.0
12/24/2023,49,40,0.02,0.0
12/25/2023,49,43,0.00,0.0
12/26/2023,51,44,0.00,0.0
12/27/2023,50,45,0.32,0.0
12/28/2023,55,49,1.22,0.0
12/29/2023,55,46,0.05,0.0
12/30/2023,46,39,0.00,0.0
12/30/2023,43,39,0.00,0.0

